"d500000e","25","90.8","1498838400"
"d500000e","25","90.8","1498838580"
"d500000e","25","90.8","1498838760"
"d500000e","25","90.8","1498838940"
"d500000e","25","90.8","1498839120"
"d500000e","25","90.8","1498839300"
"d500000e","25","90.8","1498839480"
"d500000e","25","90.9","1498839660"
"d500000e","25","90.8","1498839840"
"d500000e","25","90.8","1498840020"
"d500000e","25","90.8","1498840200"
"d500000e","25","90.8","1498840380"
"d500000e","25","90.8","1498840560"
"d500000e","25","90.8","1498840740"
"d500000e","25","90.9","1498840920"
"d500000e","25","90.9","1498841100"
"d500000e","25","90.9","1498841280"
"d500000e","25","90.9","1498841460"
"d500000e","25","90.8","1498841640"
"d500000e","25.1","90.9","1498841820"
"d500000e","25","90.9","1498842000"
"d500000e","25","90.8","1498842180"
"d500000e","25","90.8","1498842360"
"d500000e","25","90.9","1498842540"
"d500000e","25.1","90.8","1498842720"
"d500000e","25","90.8","1498842900"
"d500000e","25","90.8","1498843080"
"d500000e","25","90.8","1498843260"
"d500000e","25","90.8","1498843440"
"d500000e","25","90.8","1498843620"
"d500000e","25","90.8","1498843800"
"d500000e","25","90.8","1498843980"
"d500000e","25","90.8","1498844160"
"d500000e","25","90.9","1498844340"
"d500000e","25","90.8","1498844520"
"d500000e","25","90.8","1498844700"
"d500000e","25","90.9","1498844880"
"d500000e","25","90.8","1498845060"
"d500000e","25","90.9","1498845240"
"d500000e","25","90.8","1498845420"
"d500000e","25","90.8","1498845600"
"d500000e","25","90.9","1498845780"
"d500000e","25","90.8","1498845960"
"d500000e","25","90.8","1498846140"
"d500000e","25","90.8","1498846320"
"d500000e","25","90.8","1498846500"
"d500000e","25","90.8","1498846680"
"d500000e","25","90.9","1498846860"
"d500000e","25","90.9","1498847040"
"d500000e","25","90.9","1498847220"
"d500000e","25","90.9","1498847400"
"d500000e","25.1","90.8","1498847580"
"d500000e","25","90.8","1498847760"
"d500000e","25","90.8","1498847940"
"d500000e","25","90.8","1498848120"
"d500000e","25","90.9","1498848300"
